name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,url,terrain2,color
Bestine IV,26,680,6400,temperate,NA,"rocky islands, oceans",98,62000000,26,rocky,#808487
Ord Mantell,26,334,14050,temperate,1 standard,"plains, seas, mesas",10,4000000000,27,plain,#c2a685
NA,0,0,0,NA,NA,NA,NA,NA,28,NA,black
Trandosha,25,371,0,arid,0.62 standard,"mountains, seas, grasslands, deserts",NA,42000000,29,mountain,#977c53
Socorro,20,326,0,arid,1 standard,"deserts, mountains",NA,300000000,30,desert,#c2b280 
Mon Cala,21,398,11030,temperate,1,"oceans, reefs, islands",100,27000000000,31,ocean,#0077be
Chandrila,20,368,13500,temperate,1,"plains, forests",40,1200000000,32,plain,#c2a685
Sullust,20,263,12780,superheated,1,"mountains, volcanoes, rocky deserts",5,18500000000,33,mountain,#977c53
Toydaria,21,184,7900,temperate,1,"swamps, lakes",NA,11000000,34,swamp,#A3AE7E
Malastare,26,201,18880,"arid, temperate, tropical",1.56,"swamps, deserts, jungles, mountains",NA,2000000000,35,swamp,#A3AE7E
Dathomir,24,491,10480,temperate,0.9,"forests, deserts, savannas",NA,5200,36,forest,#228b22
Ryloth,30,305,10600,"temperate, arid, subartic",1,"mountains, valleys, deserts, tundra",5,1500000000,37,mountain,#977c53
Aleen Minor,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,black
Vulpter,22,391,14900,"temperate, artic",1,"urban, barren",NA,421000000,39,urban,#55636d
Troiken,NA,NA,NA,NA,NA,"desert, tundra, rainforests, mountains",NA,NA,40,desert,#c2b280 
Tund,48,1770,12190,NA,NA,"barren, ash",NA,0,41,barren,#d0dbc5
Haruun Kal,25,383,10120,temperate,0.98,"toxic cloudsea, plateaus, volcanoes",NA,705300,42,toxic cloudsea,#93e51e
Cerea,27,386,NA,temperate,1,verdant,20,450000000,43,verdant,#a7d3a8
Glee Anselm,33,206,15600,"tropical, temperate",1,"lakes, islands, swamps, seas",80,500000000,44,lake,#579da6
Iridonia,29,413,NA,NA,NA,"rocky canyons, acid pools",NA,NA,45,rocky,#808487
Tholoth,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,black
Iktotch,22,481,NA,"arid, rocky, windy",1,rocky,NA,NA,47,rocky,#808487
Quermia,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,black
Dorin,22,409,13400,temperate,1,NA,NA,NA,49,NA,black
Champala,27,318,NA,temperate,1,"oceans, rainforests, plateaus",NA,3500000000,50,ocean,#0077be
Mirial,NA,NA,NA,NA,NA,deserts,NA,NA,51,desert,#c2b280 
Serenno,NA,NA,NA,NA,NA,"rainforests, rivers, mountains",NA,NA,52,forest,#228b22
Concord Dawn,NA,NA,NA,NA,NA,"jungles, forests, deserts",NA,NA,53,jungle,#29ab87
Zolan,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,black
Ojom,NA,NA,NA,frigid,NA,"oceans, glaciers",100,500000000,55,ocean,#0077be
Skako,27,384,NA,temperate,1,"urban, vines",NA,500000000000,56,urban,#55636d
Muunilinst,28,412,13800,temperate,1,"plains, forests, hills, mountains",25,5000000000,57,plain,#c2a685
Shili,NA,NA,NA,temperate,1,"cities, savannahs, seas, plains",NA,NA,58,city,#8d8d8d
Kalee,23,378,13850,"arid, temperate, tropical",1,"rainforests, cliffs, canyons, seas",NA,4000000000,59,forest,#228b22
Umbara,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,black
Tatooine,23,304,10465,arid,1 standard,desert,1,200000,1,desert,#c2b280 
Jakku,NA,NA,NA,NA,NA,deserts,NA,NA,61,desert,#c2b280 
